primary_name,RoomType,TotalCount,KingSize,QueenSize,TwinBedded,HollywoodTwins,Single_Sofa-cum-bed,TotalRoomSize,BedRoomSize,LivingRoomSize,View,RoomDescription,Balcony,MaxOccupancy,Amenities
Sterling Aravalli,ROOM CAT -2 (Premier / Renamed as Family Room),10,10,,4,0,,389 Sq ft,278 Sq ft,,Pool View,Premier Rooms come with a choice of queen / twin beds . They are 389 sq.ft in size and come with a Pool View . Premier rooms accommodate a maximum of 2 adults and 1 children / 3 adults.,Yes,3 Adults or 2 adult + 1 Kid,"TV , AC, Tea Maker , safe locker, Hot water provision"
Sterling Aravalli,ROOM CAT-3 (Privilege Suite),4,4,,0,0,,455 Sq ft,309 Sq.ft,,Mountain View & Garden View,"Each meticulously designed Privilege Suite comes with a queen sized bed and a mountain View. Covering an area of 455 sq.ft, this spacious suite can accommodate a maximum of 3 adults and 1 child.",Yes,4 Adults or 2 adult + 2 Kids,"AC, Safe locker Tea Coffee maker, TV, Hot water provision"
Sterling Aravalli,Haveli,8,8,,0,0,,379 Sq. ft,327 Sq. ft,,Garden View,Haveli rooms comes with a queen sized bed and can accomodate a maximum of 2 adults and 1 children / 3 adults. Covering an area of 379sq.ft.,No,3 Adults or 2 adult + 1 Kid,"AC, Safe locker Tea Coffee maker, TV, Hot water provision"
Sterling Banashree Badami,ENTIRE RESORT,23,16,0,0,0,,NA,,,Garden view,,,,
Sterling Banashree Badami,ROOM CAT-1 COTTAGE,10,10,0,0,0,,431 Sq Ft.,,,Garden view,,yes,3 Adults,"TV , AC, Tea Maker , no safe locker , Hot water provision"
Sterling Banashree Badami,ROOM CAT -2 PREMIUM,6,6,0,0,0,,323 Sq Ft,,,Garden view,,yes,3 Adults,"TV , AC, Tea Maker , no safe locker , Hot water provision"
Sterling Banashree Badami,ROOM CAT-3 DELUXE,7,0,0,7,0,,323 Sq Ft,,,Garden view,,yes,3 Adults,"TV , AC, Tea Maker , no safe locker , Hot water provision"
Sterling Rewild Sariska,ENTIRE RESORT,32,32,,,,,,,,,,,,
Sterling Rewild Sariska,Stallion Tent with Garden View and Sit-out,7,7,,N/A,N/A,,395,210 Sq Ft (14.6 X 14.6),,Garden and Aravali Hills,"this is a luxury tent with Stallion (horse) interiors on tents, attached washroom and a small dressing area.",Veranda : 14.6 X7 = 101.5 Sq. Feet,2 Adults + 2 Kids | 3 Adults,"Tea, Coffee maker, LED TV, 2 Ton Dual purpose AC cum blower."
Sterling Rewild Sariska,Haveli Room with Sit-out,6,6,,N/A,N/A,,300,211 Sq Ft (17 X 12.5),,Garden and Aravali Hills,"it’s a block with 6 rooms (2 on GF, 2 on 1st and 2 on 2nd floor), spacious room with attached washroom and a small dressing area (31 Sq Ft).",Balconies / Varanda 66 Sq. Feet,2 Adults + 2 Kids | 3 Adults,"Tea, Coffee maker, LED TV, 2 Ton Dual purpose AC cum blower."
Sterling Rewild Sariska,Panther Tents With Mountain View and Sit-out,4,4,,N/A,N/A,,410,15 X 14 = 210 Sq Ft.,,Garden and Aravali Hills,"this is a luxury tent with amazing interiors, attached washroom and a small dressing area.","Veranda : 14.9 X 8 = 118 Sq. Feet Veranda View is overlooking lawns from above..excellent view.",2 Adults + 2 Kids | 3 Adults,"Tea, Coffee maker, LED TV, 2 Ton Dual purpose AC cum blower."
Sterling Rewild Sariska,Antler Tents with Mountain View and Outdoor Shower,10,10,,N/A,N/A,,510,18 X 15.5 = 277.5 Sq Ft.,,Garden and Aravali Hills,"this is a luxury tent with amazing interiors, attached washroom and a small dressing area. Small private lawn. Open Shower 7.5 X 5.5 40.17 Sq. Feet",Yes,2 Adults + 2 Kids | 3 Adults,"Tea, Coffee maker, LED TV, 2 Ton Dual purpose AC cum blower."
Sterling Rewild Sariska,Tiger Villa with Private Plunge Pool,4,4,,N/A,N/A,,750,"26.10 X 14.9 395.8 Sq. Feet",,Garden and Aravali Hills,"Luxury tent with demarcated living area, has amazing interiors, attached washroom, open sky shower, private plunge pool (Private pool depth : for kids – 2 Ft, for adults – 4 Ft. L 14.7 X B 10.3 = 149.48 Sq. Feet. There is 1 of its kind with Private pool depth 4.4 L 18.10 X B 8.8 = 163.2 Sq. Feet Seating area besides pool : 29.10 X 8 238.67 Sq. Feet",Yes,2 Adults + 2 Kids | 3 Adults,"Tea, Coffee maker, LED TV, 2 Ton Dual purpose AC cum blower."
Sterling Rewild Sariska,Family Suite,1,2,,N/A,N/A,,600,"Each bedroom : 17.4 X 15 260 Sq. Feet",,Garden and Aravali Hills,these are 2 side-by rooms with 2 washrooms,"Entrance (Veranda) : 11 X 5 | 16 X 5.10 55 Sq. Feet | 93.3 Sq Feet",6 Adults,"Tea, Coffee maker, LED TV, 2 Ton Dual purpose AC cum blower."
Sterling Stolen Heaven,Classic room,10,,10,0,0,0,280 sq ft,,,Garden and Mountain,for couples,,2,"Tea, Coffee maker, LED smart TV, AC"
Sterling Stolen Heaven,one BR with sit out,6,,6,0,0,0,650 sq ft,,,Garden and Mountain,Spacious for 2-4 guests,,4,"Tea, Coffee maker, LED smart TV, AC,fridge, microwave"
Sterling Stolen Heaven,two BR with sit out,22,,22,0,0,0,1200 sq ft,,,Garden and Mountain,spacious for 4-6 guests,,6,"Tea, Coffee maker, LED smart TV, AC, fridge,microwave"
Sterling Stolen Heaven,three BR with sit out,12,,12,0,0,0,1500 sq ft,,,Garden and Mountain,spacious for 6-8 guests,,8,"Tea, Coffee maker, LED smart TV, AC, Washing machine, fridge,microwave"
Sterling Marbella Dehradun,ENTIRE HOTEL,37,31,,3,3,,,,,STREET VIEW,,In all Executive room & suit room,2 Adults + 1 kid / 3 Adults,"mini fridge, Tea Coffee maker, safe locker LED 43 TV"
Sterling Marbella Dehradun,ROOM CAT-1 (SUITE),1,1,,0,0,,415,,,STREET VIEW,This is 1 room with sofa setting and attached Jacuzzi bathroom.,Y,2 Adults + 1 kid / 3 Adults,"mini fridge, Tea Coffee maker, safe locker LED 38 TV"
Sterling Marbella Dehradun,ROOM CAT -2 (Premier),18,18,,0,0,,205,,,STREET VIEW,"This is 1 room with attached bathroom, has sofa cum bed",Y,2 Adults + 1 kid / 3 Adults,"mini fridge, Tea Coffee maker, safe locker LED 38 TV"
Sterling Marbella Dehradun,ROOM CAT-3 (Classic),12,12,,0,0,,175,,,NO VIEW,"This is 1 room with attached bathroom, has sofa cum bed",N,2 Adults + 1 kid / 3 Adults,"mini fridge, Tea Coffee maker, safe locker LED 38 TV"
Sterling Marbella Dehradun,ROOM CAT-4 (Classic Twins),6,0,,3,3,,180,,,NO VIEW,"This is 1 room with attached bathroom, has sofa cum bed",N,2 Adults,"mini fridge, Tea Coffee maker, safe locker LED 38 TV"
Sterling Yelagiri,ENTIRE RESORT,90,90,,0,0,,450,375,,Garden / Mountain View,One room with attached bathroom and a balconey,Y,2+1,"Mini Fridge Wide range of Channels LED Television Tea Coffee Make RO water"
Sterling Yelagiri,ROOM CAT-1 (Classic),90,90,,0,0,,450,375,,Garden (48) / Mountain View (42,One room with attached bathroom and a balconey,Y,2+1,"Mini Fridge Wide range of Channels LED Television Tea Coffee Maker RO water"
Sterling Anaikatti,ENTIRE RESORT,33,33,,,,,,,,,,,,
Sterling Anaikatti,ROOM CAT-1 (Classic),24,25,,,,,210,,,Garden (16) / River View (8),This one is Single room with Queen Bed,N,2 Adults + 1 kid Adults,"Tea Coffee maker, LED 32 TV, Mini Fridge"
Sterling Anaikatti,ROOM CAT -2 (Premier),9,8,,,,,290,,,Garden (3) / River View (6),"This one is Single room with sofa cum bed, sofa cum bed can become a extra mattress. Has dining table inside the room with the kitchenette.",N,2 Adults + 2 kid / 3 Adults,"Microwave Oven, Tea Coffee maker, LED 32 TV, Mini Fridge"
Sterling Darjeeling,ENTIRE RESORT,101,86,,0,15,,,,,,,,,
Sterling Darjeeling,ROOM CAT-1 (Classic),34,26,,0,8,,239,182,,Front view(14) / back cottage view (14) 8 room Ground floor/ 10 room first floor/10 room second floor,This is 1 room with attached bathroom,N,2 Adults + 1 kid / 3 Adults,"Microwave, Tea Coffee maker, LED 32 TV"
Sterling Darjeeling,ROOM CAT -2 (Premier),31,27,,0,4,,303,200,,"31 rooms have no view rooms, staircase not suitable for old citizen","This is 1 room with attached bathroom, has sofa couch",N,2 Adults + 1 kid / 3 Adults,"Microwave, Tea Coffee maker, LED 32 TV"
Sterling Darjeeling,ROOM CAT-3 (Privilege Suite),22,19,,0,3,,470,"Bed room : 250 Living room : 150",,5 room with separate balcony valley view/6 room with separate balcony garden view/5 room has a common balcony in front with valley view/ 6 rooms on ground floor in front of children park.,"This has 2 rooms - 1 Bed room + 1 Drawing room with sofa cum bed, sofa cum bed can become a master bed. Has dining also in same hall as drawing room.",Y,4 Adults + 1 kid / 4 Adults,"Microwave, Tea Coffee maker, LED 32 TV"
Sterling Darjeeling,ROOM CAT-4 (Family Suite),14,14,,0,0,,750,"1st bed room - 289 (17 X 17) 2nd bed room - 400 (20 X 20)",,12 rooms has valley view from balcony 2 room does not have view.,"Combination of 2 bed roomsupstaris,Living room with sofa cum bed 1 having queen(Master) has a balcony and other Queen bedded(Children), has only 2 wash-room.",Y,6 Adults + 1 kid / 6 Adults,"Microwave, Tea Coffee maker, LED 32 TV"
Sterling Kodai Valley,ENTIRE RESORT,120,60,60,0,0,,,,,,,,,
Sterling Kodai Valley,ROOM CAT-1 (Classic),44,44,,0,0,,280 sq.ft,200,,Garden (23) / Valley View (21),1 room with attached bathroom.,N,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LCD 32 TV,Mini fridge"
Sterling Kodai Valley,ROOM CAT -2 (Premier),34,,34,0,0,,350 sq.ft,280,,Lawn (17) / Valley View (17),"1 room with attached bathroom, has sofa bed,",Y,2 adults and 2 children / 3 adults.,"Tea Coffee maker, LCD 32 TV, Mini fridge"
Sterling Kodai Valley,ROOM CAT-3 (Privilege Suite),17,,17,0,0,,450 sq.ft,"Bed room : 250 Living room : 150",,Garden View,2 rooms : 1 Bed room + 1 Drawing room with sofa cum bed which can be pulled out to make a queen sized bed. Has dining space in the drawing room.,Y,3 adults and 2 child./ 4 adults,"Microwave, Tea Coffee maker, LED 42 TV, Mini fridge"
Sterling Kodai Valley,ROOM CAT-4 (Family Suite),9,,9,0,0,,650 sq.ft,"Bedroom 1 : 250 Bedroom 2 : 250 Living room : 150",,Garden View,Our family suites are extra spacious to suit your needs. They come with two bedrooms with queen sized beds and a separate living area with a sofa cum bed. This suite can accommodate a maximum of 6 adults.,Y,6 Adults,"Microwave, Tea Coffee maker, LED 42 TV, Mini fridge"
Sterling Kodai Valley,ROOM CAT-5 (Thematic Suite),12,,12,0,0,,450 sq.ft,"Bedroom : 250 Living room : 150",,Mountain view,This theme suite has 2 rooms : 1 Bed room + 1 Drawing room with dining space.,Y,2 Adults + 1 child,"Tea Coffee maker, LED 43 TV, Mini fridge"
Sterling Kodai Valley,ROOM CAT-6 ( Deluxe Family Suite),4,4,4,0,0,,650 sq.ft,"Bedroom 1 : 250 Bedroom 2 : 250 Living room : 150",,Mountain view,"Our deluxe family suites are extra spacious to suit your needs. They come with two bedrooms, one with a king sized bed and the other with a queen bed. The living room has dining space. This suite can accommodate a maximum of 4 adults.",Y,4 Adults,"Tea Coffee maker, LED 43 TV,Mini fridge"
Sterling Nainital,ENTIRE RESORT,49,49,,0,,,,,,,,,,
Sterling Nainital,ROOM CAT-1 (Classic),18,18,,0,,,264.6sq.ft,,,Valley View,We have 18th classic rooms on the second block.,Y,2 Adults + 1 kid,"Room amenities- like 250ml 02 water bottle per day, RO water, TCM, eletric kettle, LCD TV, AC, Wash Room Amenities - dental kit, shaving kit, room slipers, shampoo, body lotion, shower cap, disposable bags and hair dryer on request."
Sterling Nainital,ROOM CAT -2 (Premier),16,16,,0,,,312sq.ft,,,Valley View,16 rooms in main building on 1st and 2nd floor,y,2 Adults + 1 kid,"Room amenities- like 250ml 02 water bottle per day, RO water, TCM, eletric kettle, LCD TV, AC, Wash Room Amenities - dental kit, shaving kit, room slipers, shampoo, body lotion, shower cap, disposable bags and hair dryer on request."
Sterling Nainital,ROOM CAT -3 (Super Premier rooms with valley view),8,8,,0,,,324sq.ft,,,Valley View,We only 8 Super premier rooms with valley view in main building on the top floor.,y,3 Adults + 01 Kid,"Room amenities- like 250ml 02 water bottle per day, RO water, TCM, eletric kettle, LCD TV, AC, Wash Room Amenities - dental kit, shaving kit, room slipers, shampoo, body lotion, shower cap, disposable bags and hair dryer on request."
Sterling Nainital,ROOM CAT -4 (Super Premier rooms with sit out area),7,7,,0,,,400sq.ft,,,Valley View,We have only 7 super premier rooms with sit out area in main building on ground floor.,N,3 Adults + 01 Kid /4 Adults,"Room amenities- like 250ml 02 water bottle per day, RO water, TCM, eletric kettle, LCD TV, AC, Wash Room Amenities - dental kit, shaving kit, room slipers, shampoo, body lotion, shower cap, disposable bags and hair dryer on request, sitting sofa."
Sterling Goa Varca,ENTIRE RESORT,71,60,,0,11,,,,,,,,,
Sterling Goa Varca,ROOM CAT-1 (Classic),57,46,,0,11,,343 Sq. ft,294 Sq. ft,,18 Pool View / 21 Front View / 18 Field View,This is 1 room with attached bathroom,38,2 Adult + 1 Kid / 3 Adult,"Complimentary Packaged Water - 2 Bottles (500 ml) / day, Tea Coffee Maker, Hair Dryer, Shaving/Makeup Mirror, Mini Fridge, LED Television, Iron and Ironing Board (on request)"
Sterling Goa Varca,ROOM CAT -2 (Premier),12,12,,0,0,,582 Sq. ft,533 Sq. ft,,12 Front Fiew,"This is 1 room with attached bathroom, has sofa cum bed",2,2 Adult + 2 Kid / 4 Adult,"Complimentary Packaged Water - 3 Bottles (500 ml) / day, Tea Coffee Maker, Hair Dryer, Shaving/Makeup Mirror, Mini Fridge, LED Television, Kitchenette, Microwave, Iron and Ironing Board (on request)"
Sterling Goa Varca,ROOM CAT-3 (Privilege Suite),2,2,,0,0,,620 Sq. ft,571 Sq. ft,,2 Front View,"This has 2 rooms - 1 Bed room + 1 Drawing room with sofa cum bed, sofa cum bed can become a master bed. Has dining also in same hall as drawing room.",2,4 Adult,"Complimentary Packaged Water - 4 Bottles (500 ml) / day, Tea Coffee Maker, Hair Dryer, Shaving/Makeup Mirror, Mini Fridge, LED Television, Kitchenette, Microwave, Dining Table, Iron and Ironing Board (on request)"
Sterling Gangtok Orange Village,ENTIRE RESORT,56,46,,NA,NA,,,,,,,,,
Sterling Gangtok Orange Village,ROOM CAT-1 (Classic),13,10,,NA,3 Queen Size,,340,250,,Mountain View,This is Room with Attached Bathroom with Sofa Seating+ Balcony,Y,2 Adults + 1 kid / 3 Adults Max,"Tea Coffee maker, LED 40 TV"
Sterling Gangtok Orange Village,ROOM CAT -2 (Premier),29,29,,NA,NA,,375 to 425,300,,Mountain View,This is Room with Attached Bathroom with Sofa Seating+ Balcony,y,3 Adults + 1 kid / 3 Adults Max,"Tea Coffee maker, LED 40 TV"
Sterling Gangtok Orange Village,ROOM CAT-3 (Privilege Suite),1,1,,NA,NA,,550,450,,Mountain View,Aqstic Room with 2 Bed+ Bath Tub+2 Balcony+Sofa Seating,Y,4 Adults + 1 kid / 3 Adults Max,"Tea Coffee maker, LED 40 TV"
Sterling Gangtok Orange Village,ROOM CAT-4 (Cottage),13,13,,NA,NA,,450,380,,Mountain View,This is Room with Attached Bathroom with Sofa Seating+ Balcony,y,5 Adults + 1 kid / 3 Adults Max,"Tea Coffee maker, LED 40 TV"
Sterling Padam Pench,ENTIRE RESORT,22,25,,0,0,,,,,,,,,
Sterling Padam Pench,ROOM CAT-1 Mud Hosue,4,4,,0,0,,350,250,,Chopal View,"Mud house accommodation are designed to provide guest a memorable and eco friendly stay combing traditional architectire with modern comfort. This 350 sq.ft house is equipped with a comfortable bed and a split wash & bath area. The lovely, private verandah facing into the community area lends itself for a relaxed chat giving you the experience of sitting in a village in Pench. It is one rooms with attached bathroom.",N,2 Adults + 1 kid,"Tea Coffee maker, LED 32TV, Hot water Geyser"
Sterling Padam Pench,ROOM CAT -2 (Premier),8,8,,0,0,,370,214,,Garden View,This is 1 room with king Size bed attached bathroom,Y,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 42 TV, Hot water Geyser"
Sterling Padam Pench,ROOM CAT-3 Wood House,5,5,,0,0,,549,455,,Garden View,"Inspired by Swiss Chalets concept, 550 sq.ft wood house has double-storey ceiling. You can climb the internal staircase leading to an additional sleeping area in the attic.These woodhouse are designed to provide a rustic yet luxurioys experince blending seamlessly with the surrounding environment Capacity: Up to 4 Adults per room. This is 1 rooms - 1 King Bedroom + Machan & 01 washroom",N,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 42 TV, Ho water geyser"
Sterling Padam Pench,ROOM CAT-4 (Family Suite),4,4,,0,0,,850,610,,Garden View & Jamuntola Lake View,"Inspired with Rajasthani décor, 850 squre fet cottage has private plunge pool where you can dip your feet in and cool off after a tiger safari. The stand-alone bathroom has an open-to-sky shower as well. Unwind in the evening on your private machan with a view of the Jamuntola Lake and get an authentic feel of being in the jungle. Its combination of 1 bed room with private pool, one wash-room and Machan for sit out.",N,2 Adults + 1 Kids/ 3Adults,"Tea Coffee maker, LED 42 TV, Hot water Geyser"
Sterling Padam Pench,ROOM CAT-Padam Villa,1,4,,0,0,,440,350,,Pool View,"Combination of 4 bed room, private pool, 4 king size bed, has 4 wash-room",N,8 Adults + 4 Kids/12 Adults,"Tea Coffee maker, LED 42 TV, Hot water Geyser"
Sterling Mantra Haridwar,Premier,34,34,,0,N/A,,325,210,,Lawn / Temple / Highway,"This is 1 room with attached Washroom, wooden flooring",NO,4,"Tea, coffee maker , toiletries , TV, Centralised ACs, free wifi , In room dining"
Sterling Mantra Haridwar,Classic,5,5,,0,N/A,,325,210,,Lawn / Temple / Highway,"This is 1 room with attached Washroom, wooden flooring",NO,4,"Tea, coffee maker , toiletries , TV, Centralised ACs, free wifi , In room dining"
Sterling Shivalik Chail,ENTIRE RESORT,32,32,,0,0,,,,,,,,,
Sterling Shivalik Chail,ROOM CAT-1 (Classic),8,8,,0,0,,330,200,,Valley View,Front facing room and balcony available,Y,2 Adults + 2 kid / 3 Adults,"Tea Coffee maker, LED 42 TV"
Sterling Shivalik Chail,ROOM CAT -2 (Premier),20,20,,0,0,,330,200,,Valley View,Front facing room and balcony available,Y,2 Adults + 2 kid / 3 Adults,"Tea Coffee maker, LED 42 TV"
Sterling Shivalik Chail,ROOM CAT-3 (Family Suite),4,4,,0,0,,550,400,,Valley View,"Combination of 2 bed rooms, Duplex room, has only 1 wash-room, entire wooden work done, wooden flooring.",Y,4 Adult + 2 Kid / 5 Adult,"Tea Coffee maker, LED 42 TV"
Sterling Legacy Shimla,Classic / Guest Room,,,,,,,81 sq. ft,,,6 rooms no view there is a building in front,,,,
Sterling Legacy Shimla,Deluxe / 2 BR,,,,,,,180 to 224 sq.ft,,,"6 rooms have corridors between and partially forest view. 2 Rooms have partially forest view. 1 Room have mall road view. 1 Room no view",,,,
Sterling Legacy Shimla,Premium Room / Studio,,,,,,,275 to 295 sq. ft.,,,"4 Room have partially mall road view and forest view. 2 Rooms have only forest view.",,,,
Sterling Legacy Shimla,Privilege Suite / 1BR,,,,,,,598 to 625 sq. ft.,,,4 room have partially forest view,,,,
Sterling Panchgani,Priemer room with balcony,12,,12,,,,247 Sq.ft,,,No view,This is 1 room with attached bathroom had private balcony,,02 Adult +2 Children below 12 / 3 adults,"Tea Coffee maker, LED 42 TV, hairdriyer,WiFi"
Sterling Panchgani,Priemer room with balcony & View,10,,10,,,,274 Sq. ft,,,Seven rooms with mountain view & three rooms with garden view.,This is 1 room with attached bathroom had private balcony,,02 Adult +2 Children below 12 / 3 adults,"Tea Coffee maker, LED 42 TV, hairdriyer,WiFi"
Sterling Panchgani,Privilege Suites,2,,2,,,2,484 Sq. ft,,210 Sf .ft,Mountain view,This is 1 room with living rom along with sofa cum bed attached bathroom Living area and two private balcony,Y,04 Adult +2 Children below 12 / 3 adults,"Tea Coffee maker, LED 42 TV, hairdriyer,WiFi"
Sterling Vythiri Wayanad,ENTIRE RESORT,24,23,,4,,,,,,,,,,
Sterling Vythiri Wayanad,"Family Suite (River view)303, 306, 310,",3,6,,nil,,,650,570,,Stream + Garden,"This is 2 bedroom with attached 2 bathroom, living area and private balcony",y,6 adult,"Tea Coffee maker, LED 42 TV, hairdriyer,WiFi, 2 Extra bed"
Sterling Vythiri Wayanad,"Privilege Suite (River View) -301, 302, 305, 308, 309,205, 206, 207",12,8,,nil,,,365,285,,Stream + Garden,"This is 1 room with attached bathroom, living area and private balcony",y,2 adults and 2 children below 12/ 3 adults,"Tea Coffee maker, LED 42 TV, hairdriyer,WiFi, one Extra bed"
Sterling Vythiri Wayanad,"Privilege Suite (Garden/Bamboo view)- 201, 202, 203, 204",12,4,,nil,,,365,285,,Garden and/or Bamboo and Garden,"This is 1 room with attached bathroom, living area and private balcony",Y,2 adults and 2 children below 12/ 3 adults,"Tea Coffee maker, LED 42 TV, hairdriyer,WiFi, one Extra bed"
Sterling Vythiri Wayanad,"Premier Suite (Garden view)107, 108, 109",3,3,,nil,,,325,285,,Garden/ Stream,"This is 1 room with attached bathroom, living area and private balcony",y,2 adults and 2 children below 12/ 3 adults,"Tea Coffee maker, LED 42 TV, hairdriyer,WiFi, one Extra bed"
Sterling Vythiri Wayanad,"Premier Cottage 101,102,103,104,105,106",6,2,,4,,,310,270,,Garden,"This is 1 room with attached bathroom,and privite balcony",Y,2 adults and 1child,"Tea Coffee maker, LED 42 TV, hairdriyer,WiFi, one Extra bed" 
Sterling Balicha Udaipur,ENTIRE RESORT,40,37,,3,0,,,,,,,,,
Sterling Balicha Udaipur,ROOM CAT-1 (Classic),35,32,,0,3,,250,200,,"Mountain Highway Facing & City Facing",This is 1 room with attached bathroom,N,2 Adults + 1 kid / 3 Adults,"4 packaged drinking water bottles (500 ml each), Tea Coffee maker, LED 42 TV, Mini refrigerator"
Sterling Balicha Udaipur,ROOM CAT -2 (Super Premier),3,3,,0,0,,379,200,,"Mountain Highway Facing & City Highway Facing","This is 3 room with King bed attached bathroom, has Jacuzzi.",N,3 Adults + 1 kid,"4 packaged drinking water bottles (500 ml each), Tea Coffee maker, LED 42 TV, Mini refrigerator"
Sterling Balicha Udaipur,ROOM CAT-3 (Privilege Suite),2,2,,0,0,,350,290,,Garden Facing,This is 1 room with attached bathroom,N,3 Adults + 1 kid,"4 packaged drinking water bottles (500 ml each), Tea Coffee maker, LED 42 TV, Mini refrigerator"
Sterling Corbett,ENTIRE RESORT,44,44,,0,0,,,,,,,,,
Sterling Corbett,ROOM CAT-1 (Classic),28,28,,0,0,,243-269,221,,"Mountain View (26), With out View - 2",Unwind in this contemporary 243-269 sq.ft room with a choice of mountain or river view. The classic rooms come with an option of queen / twin beds and can accommodate a maximum of 2 adults and 1 child,"Yes, Except 2 room",2 Adults,"Minifridge,TCM, LCD 32 "
Sterling Corbett,ROOM CAT -2 (Premier),8,8,,0,0,,297,217,,Mountain View -8,Premier Rooms come with a choice of queen / twin beds and a single sofa cum bed. They are 297 sq.ft in size and come with a view of the mountains. Premier rooms accommodate a maximum of 2 adults and 2 children / 3 adults,Yes,2 Adults + 1 kid / 3 Adults,"Microwave, Tea Coffee maker, LED 32 TV"
Sterling Corbett,ROOM CAT-3 (Privilege Suite),8,8,,0,0,,387,"Bed room : 156 Living room : 177",,Mountain View -8,"Each meticulously designed Privilege Suite comes with a king-sized bed and a separate living area replete with a double sofa cum bed. Covering an area of 387 sq.ft, this spacious suite can accommodate a maximum of 3 adults and 1 child. The suites have a spectacular view of mountains and river.",Yes,2 Adults + 2 kid / 4 Adults,"Microwave, Tea Coffee maker, LED 32 TV"
Sterling Athirappilly,ENTIRE RESORT,30,20,10,,,,,,,,,,,
Sterling Athirappilly,ROOM CAT-1 (Premier Room),10,PDA,PDA,,Queen,,308,,,Lawn,Rooms with & without balcony ( 4 + 4),50%,2 Adults + 1 kid / 3 Adults,"Mini Ref, Tea Coffee maker, LED 42 TV, Bath Wet & Dry supplies, Iron box & board, Hair Dryer"
Sterling Athirappilly,ROOM CAT -2 (Indulge Room),16,PDA,PDA,,King,,308,,,Bamboo,Lateral River view Room with a balcony,Y,2 Adults + 1 kid / 3 Adults,"Mini Ref, Tea Coffee maker, LED 42 TV, Bath Wet & Dry supplies, Iron box & board, Hair Dryer"
Sterling Athirappilly,ROOM CAT-3 (Elegance Suite),1,PDA,PDA,,King,,420,,,River,Suite Room with a view facing Bath Tub in the living space apart from the attached bathroom with a balcony,Y,2 Adults + 1 kid / 3 Adults,"Mini Ref, Tea Coffee maker, LED 42 TV, Bath Wet & Dry supplies, Iron box & board, Hair Dryer"
Sterling Athirappilly,ROOM CAT-4 (Indulge Suite),2,PDA,PDA,,King,,580,,,River,Suite room with a private Jacuzzi in the living space apart from the attached bathroom with a balcony,Y,2 Adults + 1 kid / 3 Adults,"Mini Ref, Tea Coffee maker, LED 42 TV, Bath Wet & Dry supplies, Iron box & board, Hair Dryer"
Sterling Athirappilly,ROOM CAT-5 (Presidential Suite),1,PDA,PDA,,King,,840,,,River,Interconnecting rooms- both with King Size bed & attached washrooms. The Master Bedroom has a view facing Bath Tub in the living space with 2 balconies,Y,2 Adults + 2 Adults + 2 Kids,"Mini Ref, Tea Coffee maker, LED 42 TV, Bath Wet & Dry supplies, Iron box & board, Hair Dryer"
"Sterling City Centre Bokaro",ENTIRE RESORT,74,66,0,8,0,,NA,NA,,,"24 Classic, 09 standard, 11 business class ,17 Premier, 08 junior suite and 05 Privilege Suite",,,
"Sterling City Centre Bokaro",ROOM CAT-1 (Classic / Standard ),33,33,0,8,0,,170-270,135-220 Sq ft,,,"contemporary 170-280 sq.ft room that comes with an option of king / twin beds and can accommodate a maximum of 2 adults and 1 child. Classic bed room size varies from 135 - 220 Square feet",N,2 Adults + 1 kid / 3 Adults,"TV , AC, Tea Maker , safe locker , Hot water provision"
"Sterling City Centre Bokaro",ROOM CAT -2 (Business Class),11,11,0,0,0,,270-310,220-260,,,Business class Rooms come with a choice of Kinng / twin beds . They are 270-310 sq.ft in size and come with a city view. Business class rooms accommodate a maximum of 2 adults and 1 children / 3 adults. Bed Room size 220-260 sq ft,N,3 Adults or 2 adult + 1 Kids,"TV , AC, Tea Maker , safe locker, Hot water provision"
"Sterling City Centre Bokaro",ROOM CAT -3 (Premier),17,17,0,0,0,,270-315,220-265,,,Premier Rooms come with acome with a choice of Kinng / twin beds . They are 270-315 sq.ft in size and come with a city view. Premier rooms accommodate a maximum of 2 adults and 1 children / 3 adults. Bed Room size 220-265 sq ft,N,3 Adults or 2 adult + 1 Kids,"TV , AC, Tea Maker , safe locker , Hot water provision"
"Sterling City Centre Bokaro",ROOM CAT-4 (Junior Suite),8,8,0,0,0,,370-500,310-440 sq ft,,,"For those who prefer choice and bit of vanity in their experience, would find the selection of Junior Suite to their liking. Three unique varieties of suites that are thoughtfully designed to offer comfort coupled with thematic decor and ample of space for the extra luggage",N,3 Adults/ 2 Adlut + 2 Kids,"AC, Safe locker Tea Coffee maker, LED  TV, Hot water provision "
"Sterling City Centre Bokaro",ROOM CAT-3 (Privilege Suite),5,5,0,0,0,,500-730 sq ft,440-670 sq ft,,,"Indulge in me-time at our Privilege Suites. Discover plush designs, ambient lighting, and convenience of all the amenities available at your quick access. Featuring spacious living room with additional sofa / cum bed and writing desk, one king size bedroom with comfortable bedding and signature welcome amenities",N,4 Adults/ 2 Adlut + 2 Kids,"AC, Safe locker Tea Coffee maker, LED TV, Hot water provision"
Sterling Orient Woods,ENTIRE RESORT,27,27,,0,,,,,,,,,,
