primary_name,RoomType,TotalCount,KingSize,QueenSize,TwinBedded,HollywoodTwins,Single_Sofa-cum-bed,TotalRoomSize,BedRoomSize,LivingRoomSize,View,RoomDescription,Balcony,MaxOccupancy,Amenities
Sterling Kufri,ROOM CAT-1 (Classic),30,30,,No Room Twin Bedded,NA,,250 sq.ft,196 Sq. Ft.,,16 Rooms Valley View / Rear Side (parking / badminton court view) View 14 Rooms,,N,2 Adults + 1 kid (below 6 yrs),"Tea Coffee maker, LED 32 TV, Mini Fridge"
Sterling Kufri,ROOM CAT -2 (Premier),46,46,,No Room Twin Bedded,NA,,400 sq.ft,330 Sq. Ft.,,15 Rooms does not have view (frosted glass) / 31 Rooms have valley view,,N,3 Adults + 1 kid (below 6 yrs),"Tea Coffee maker, LED 32 TV, Mini Fridge"
Sterling Kufri,ROOM CAT-3 (Privilege Suite),1,1,,No Room Twin Bedded,NA,,700 sq.ft,"Bed room : 300 Sq. Ft. Bed room : 250 Sq. Ft.",,With Valley View,This has 2 rooms (2 Bed rooms) without any privacy,N,4 Adults,"Tea Coffee maker, LED 32 TV, Mini Fridge"
Sterling Gir,ENTIRE RESORT,23,23,,0,0,,,,,,,,,
Sterling Gir,ROOM CAT -1 (Classic),20,20,,0,0,,252,210,,Garden(15)/ Forest View (8),This is 1 room with attached bathroom,Y,2 Adults + 1 kid / 3 Adults,"2 packaged drinking water (500 ml each), Tea / Coffee maker, LED 42 inches, Mini refigerator."
Sterling Gir,ROOM CAT-2 (Premier),3,3,,0,0,,289,225,,Garden,This is 1 room with attached bathroom,Y,2 Adults + 1 kid / 3 Adults,"2 packaged drinking water (500 ml each), Tea / Coffee maker, LED 42 inches, Mini refigerator."
Sterling Gir,ROOM CAT-3 (Dometry),2,8 single beds in each,,0,0,,500,420,,Forest View,2 washrooms attached,Y,8 Single people can stay in each dometry,"8 packaged drinking water (500 ml each), Tea / Coffee maker, LED 42 inches, Mini refigerator."
Sterling Lonavala,ENTIRE RESORT,45,45,,,,,,,,Express way view /Bunglaow,,N,Triple,As per stardard
Sterling Lonavala,ROOM CAT-1 (Classic),44,44,,,,,230,200 Sqft,,Express way view /Bunglaow,Room with sofa cum bed,N,2 Adults + 1 kid / 3 Adults,BASIC
Sterling Lonavala,ROOM CAT -2 (Suite),1,1,,0,,,450,400sqft,,Highway View,Living area with bedroom,N,2 Adults + 1 kid / 3 Adults,BASIC
Sterling Puri,ENTIRE RESORT,121,31,80,10,0,,NA,NA,,Garden view / Sea View,"74 Classic, 20 Premier, 22 Garden View Privilege Suite and 5 Sea view Suite",,,
Sterling Puri,ROOM CAT-1 (Classic),74,20,44,10,0,,250-325,200-225 Sq ft,,Garden view / Sea view,contemporary 300 sq.ft room that comes with an option of queen / twin beds and can accommodate a maximum of 2 adults and 1 child. Classic bed room size varies from 130 - 235 Square feet,Only 12 Sea view has balcony,2 Adults + 1 kid / 3 Adults,"TV , AC, Tea Maker , safe locker , Hot water provision"
Sterling Puri,ROOM CAT -2 (Premier),20,,20,0,0,,375,325,,Garden view,"Premier Rooms come with a choice of queen / twin beds and a single sofa cum bed. They are 325 sq.ft in size and come with a garden view. Premier rooms accommodate a maximum of 2 adults and 2 children / 3 adults. Bed Room size 18*12 feet, Bathroom size: 8*6 feet",N,3 Adults or 2 adult + 2 Kids,"TV , AC, Tea Maker , safe locker, Hot water provision"
Sterling Puri,ROOM CAT-3 (Privilege Suite),27,5,0,0,0,,500,"Bed room : 250 Living room : 200 Bath Room: 50",,22 Garden View + 5 sea View,"Each meticulously designed Privilege Suite comes with a queen sized bed and a separate living area replete with a double sofa cum bed. Covering an area of 500 sq.ft, this spacious suite can accommodate a maximum of 3 adults and 1 child. Garden View Bed Room size 13*11 feet, Living Room : 12.5*11, Dining Area:9.5*7 feet Bathroom size: 8*6 feet",N,4 Adults/ 2 Adlut + 2 Kids,"AC, Safe locker Tea Coffee maker, LED  TV, Hot water provision"
Sterling Kanha,ENTIRE RESORT,25,Yes,,,,,,,,,,,,
Sterling Kanha,ROOM CAT-1 (Classic - Tents),9,9,,0,N/A,,300sq.ft,220sq.ft,,"Lawns in front with  Banjar riverside",Cozy furished tents with a aweview extension of lush green lawns and easy access to riverside,Yes,2adults / 1 child,"Tea Kettle, Mini Refreigerator, Tower Cooler, TV screen with dishTV, Intercom facility"
Sterling Kanha,ROOM CAT -2 (Premier),16,16,,0,N/A,,450sq.ft,300sq.ft,,"Garden landscaping view / Pond facing",Newly furnished corporate look rooms with extended balcony facing Pond or landscaping with Sal trees,Yes,"3 adults /1 child OR 2adults / 2 child","Tea Kettle, Mini Refreigerator, AC split unit, TV screen with dishTV, Intercom facility"
Sterling Kanha,"ROOM CAT-3 (Villa with Machan)",4,4,,0,N/A,,615sq.ft,420sq.ft,,"Garden landscaping view / Jungle view",Villa comes with a king-sized bed and living area replete with a double sofa cum bed.Room is equipped with Open shower area & machan with a spectacular view of riverside,No,"3 adults /1 child OR 2adults / 2 child","Tea Kettle, Mini Refreigerator, AC split unit, TV screen with dishTV, Intercom facility, Open area shower, Kitchenette (On request)"
Sterling Palavelli Godavari,ENTIRE RESORT,51,51,,0,0,,,,,Surrounded with Coconut tree,,,,
Sterling Palavelli Godavari,ROOM CAT-1 (Classic Room Heritage Block),27,27,,0,0,,375,310,,Coconut Garden (15) / Pond Facing with balcony(4)/Pond Facing without balcony(8),One room with attached bathroom,Only few room,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 32 TV"
Sterling Palavelli Godavari,ROOM CAT -2 (Premier Heritage Block),12,12,,0,0,,465,408,,Coconut Garden (06) / Pond Facing with balcony(2)/Pond Facing without balcony(2)/Facing pond with open terrace(2),One room with attached bathroom,Only few room,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 32 TV,Mini Fridge"
Sterling Palavelli Godavari,ROOM CAT-3 (Premier Room Pond view with private deck),8,8,,0,0,,320,194,,All 08 Room Facing toward Lotus Pond,One bedroom with attached bathroom and private deck with pond view,Y,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 32 TV, Mini Fridge"
Sterling Palavelli Godavari,ROOM CAT-4 (Privilege Suite room pond view),2,2,,0,0,,630,435,,02 Room Facing toward Lotus Pond,"Combination of 2 bed rooms, 1 having king and other Twin bed, has only 1 washroom.",Y,4 Adults,"Tea Coffee maker, LED 42 TV,Mini Fridge"
Sterling Palavelli Godavari,ROOM CAT-5 (Mud Villa),2,2,,0,0,,370,262,,Old Village type room with Morden Amenities,One room with attached bathroom,N,2 Adults / 3 Adults,"Tea Coffee maker, LED 32 TV"
Sterling Nature Trails Durshet,AC Tent,9,9,,,,9,262,222,,Pool View,"Room with king size bed attached bathroom, has sofa cum bed. You could call them glamping, or you could call them luxurious abodes with modern amenities on the inside.",Y,2 Adults + 1 kid / 3 Adults,"Bottled water, Tea coffee maker, Mini fridge, bathroom amenities"
